Postcode,0-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85-89 years,90-94 years,95-99 years,100 years and over,Total
3000,735,320,161,3561,11898,8697,5045,2325,1246,968,791,689,572,448,256,127,73,42,31,6,0,37979
3002,157,83,60,86,343,725,680,444,274,282,289,302,365,301,242,105,77,93,40,17,6,4957
3003,184,115,97,193,915,1252,933,488,355,264,223,159,112,91,74,45,12,13,4,0,0,5516
3004,284,177,106,257,819,1432,1365,907,600,458,508,472,482,507,349,214,124,131,70,41,8,9311
3005,32,16,6,14,56,90,96,62,29,27,33,26,11,16,6,7,0,0,0,0,0,523
3006,584,206,118,814,3211,4165,3436,1757,975,720,708,654,489,454,255,149,66,40,8,3,5,18811
3008,524,135,81,427,1513,2281,1696,891,561,475,528,460,333,289,139,61,32,11,7,0,0,10438
3010,3,0,6,756,658,80,28,14,4,5,8,9,11,7,10,0,0,0,0,0,0,1595
3011,1348,827,511,825,2287,3183,2847,2134,1465,1254,1018,1008,723,584,385,381,295,242,112,34,5,21464
3012,1987,1470,996,1071,2118,3035,3093,2539,2061,1709,1368,1223,997,734,532,482,423,288,141,33,4,26295
3013,1159,977,695,601,794,1198,1504,1561,1440,1182,973,728,565,408,302,295,276,225,73,22,0,14967
3015,1455,1333,868,765,889,1151,1502,1676,1706,1348,1173,1038,760,547,393,291,266,186,107,19,0,17472
3016,852,1060,1029,1072,835,672,729,890,1146,1353,1392,1239,962,842,510,373,251,225,90,25,0,15558
3018,784,724,593,536,594,748,914,1010,965,952,849,822,724,682,589,426,398,265,85,28,0,12685
3019,628,558,511,556,928,960,876,663,598,537,502,501,448,349,205,151,121,77,35,6,0,9199
3020,3064,2482,2195,2520,3610,4224,4115,3242,2899,2707,2524,2386,2142,1911,1590,1246,1009,612,266,48,7,44784
3021,3519,3076,2894,3303,4513,4707,4303,3588,3193,3313,3144,3207,3216,2957,1997,1495,1024,523,173,37,7,54190
3022,218,174,161,145,195,282,348,218,230,167,161,153,146,137,96,81,73,59,56,6,0,3102
3023,5274,5381,4652,4280,4157,4483,5519,5871,5616,4513,3533,3026,2577,2079,1242,856,484,290,102,24,3,63974
3024,2469,2291,1698,1436,1414,1918,2666,2191,1775,1451,1174,987,819,665,398,239,162,63,29,4,0,23852
3025,935,738,582,629,666,857,1003,920,829,739,571,537,500,493,538,595,534,319,137,37,3,12155
3026,0,0,0,0,6,0,3,0,0,9,11,6,7,13,4,0,0,0,0,0,0,72
3027,885,543,326,311,349,652,1093,855,557,340,243,195,156,86,24,23,6,5,5,0,0,6650
3028,1914,1733,1505,1582,2081,2520,2556,2086,1964,2024,2049,1976,1571,1315,853,627,458,264,94,34,6,29198
3029,9579,7959,5999,5636,6108,8203,10980,8813,6332,5414,4862,4188,3326,2739,1737,1046,594,306,92,19,4,93946
3030,9495,8429,6559,5754,5867,7161,9664,9561,8129,6941,5739,4708,3947,3047,1993,1449,935,594,274,59,4,100311
3031,1245,945,719,743,1539,2427,2429,1782,1351,1196,863,864,722,567,364,297,244,143,59,17,3,18533
3032,1868,1525,1283,1408,2685,3407,3260,2407,2165,2022,1741,1659,1264,997,611,457,323,237,106,15,0,29449
3033,825,866,803,787,781,823,840,895,1054,1058,922,772,716,860,888,761,478,254,103,29,0,14512
3034,635,591,559,550,627,635,797,757,765,753,690,678,616,719,712,644,502,262,113,18,0,11633
3036,245,364,397,426,369,269,255,314,351,456,449,419,384,421,298,185,151,129,49,10,0,5921
3037,3621,4268,3970,3814,3594,3342,3839,4162,4440,3923,3352,2654,2056,1528,1020,647,439,287,160,29,6,51156
3038,1221,1388,1752,1999,2221,1833,1387,1374,1728,2110,2292,2325,1880,1463,936,629,405,236,76,15,0,27258
