Suburb,Longitude,Latitude,Area
Abbotsford,144.9997975,-37.80470437,2.223369892
Aberfeldie,144.8974251,-37.75963614,1.971027362
Airport West,144.8813368,-37.72386202,4.653908428
Albanvale,144.7685445,-37.74610564,2.416945878
Albert Park,144.9631929,-37.84475295,4.345716414
Albion,144.8160456,-37.77635579,3.245400821
Alphington,145.0308749,-37.78037851,3.549580414
Altona,144.8130541,-37.86008247,20.91422899
Altona Meadows,144.7844703,-37.88098251,13.36871922
Altona North,144.8346696,-37.83796498,17.77893527
Ardeer,144.8014429,-37.77592513,2.547310882
Armadale,145.0206772,-37.85675267,2.765227582
Arthurs Creek,145.2068912,-37.564443,49.36277471
Arthurs Seat,144.9596924,-38.36314667,11.26588142
Ascot Vale,144.9136966,-37.77699959,4.851261627
Ashbourne,144.4375624,-37.41041318,81.69205206
Ashburton,145.0807218,-37.86738192,3.635721375
Ashwood,145.1023043,-37.86671234,3.359327025
Aspendale,145.1023414,-38.02188089,3.880585174
Aspendale Gardens,145.1198511,-38.02215233,4.111168256
Attwood,144.8848529,-37.66701377,6.404313341
Avondale Heights,144.8626195,-37.76160848,6.804115011
Avonsleigh,145.4847445,-37.91165035,9.289677913
Bacchus Marsh,144.4310256,-37.67221427,6.118723691
Badger Creek,145.5332593,-37.7051702,57.94747344
Balaclava,144.9947273,-37.87031904,1.021417305
Balliang,144.3322585,-37.85096176,148.0425781
Balnarring,145.1338797,-38.35720252,57.06668253
Balnarring Beach,145.1160002,-38.39519836,1.796538367
Balwyn,145.0833455,-37.8091762,5.580552752
Balwyn North,145.0842104,-37.7919652,11.35934404
Bangholme,145.1904509,-38.05212191,46.32623213
Baxter,145.1569128,-38.20087974,12.60963366
Bayles,145.5806247,-38.17606026,30.1441763
Bayswater,145.2647407,-37.84541361,10.19539835
Bayswater North,145.2837018,-37.82694229,8.286441346
Beaconsfield,145.3831227,-38.04033614,12.96200353
Beaconsfield Upper,145.4237761,-37.99808852,35.86439022
Beaumaris,145.0389138,-37.98220978,6.589463349
Belgrave,145.3552378,-37.91206763,5.169686749
Belgrave Heights,145.3469026,-37.92644898,2.067057435
Belgrave South,145.3573296,-37.9424184,16.09955697
Bellfield,145.0385065,-37.75309127,1.151334339
Bend Of Islands,145.2836277,-37.69802641,8.384022078
Bentleigh,145.0380733,-37.92244334,5.855462786
Bentleigh East,145.0666708,-37.92211037,11.61603159
Berwick,145.3481144,-38.04035108,43.07649349
Beveridge,145.0133823,-37.47983293,56.35239284
Bittern,145.1778583,-38.33740839,13.71006144
Black Rock,145.0229273,-37.970517,4.617166011
Blackburn,145.1522675,-37.82170489,7.446446648
Blackburn North,145.1542685,-37.80537507,3.416701219
Blackburn South,145.1465198,-37.83937097,4.553964099
Blairgowrie,144.7722206,-38.3687197,7.940498945
Blind Bight,145.3377059,-38.21424714,0.704021958
Bonbeach,145.1275121,-38.06316018,3.607899691
Boneo,144.9043916,-38.43123904,77.6688856
Boronia,145.2859284,-37.85631765,14.24216964
Botanic Ridge,145.2684143,-38.13920514,12.3126747
Box Hill,145.1261178,-37.82152715,4.473227209
Box Hill North,145.1295707,-37.80563252,4.996174173
Box Hill South,145.1233062,-37.83661171,4.435011304
Braeside,145.1174077,-38.01230799,0.473634881
Braybrook,144.8548475,-37.78667946,5.465861653
Briar Hill,145.1210081,-37.70617353,1.682465671
Brighton,144.9958191,-37.90821741,10.43911163
Brighton East,145.0164216,-37.91721217,7.14608466
Broadmeadows,144.9324214,-37.68329581,10.01285041
Brookfield,144.5405175,-37.69938654,13.55073337
Brooklyn,144.8415313,-37.8160825,6.98765291
Brunswick,144.9612738,-37.7664412,6.536295661
Brunswick East,144.9777022,-37.76887935,2.734377406
Brunswick West,144.9425629,-37.76331698,3.980166142
Bulla,144.7910215,-37.63526552,42.50747124
Bulleen,145.0871969,-37.7689391,8.442902505
Bullengarook,144.4964113,-37.476389,88.59743166
