Postcode,Negative income,Nil income,"1-149 (1-7,799)","150-299 (7,800-15,599)","300-399 (15,600-20,799)","400-499 (20,800-25,999)","500-649 (26,000-33,799)","650-799 (33,800-41,599)","800-999 (41,600-51,999)","1,000-1,249 (52,000-64,999)","1,250-1,499 (65,000-77,999)","1,500-1,749 (78,000-90,999)","1,750-1,999 (91,000-103,999)","2,000-2,999 (104,000-155,999)","3,000 or more (156,000 or more)",Not stated,Not applicable,Total
3000,379,9718,1259,1878,2162,2051,2168,1913,2100,2231,1618,1321,890,1475,925,4687,1214,37979
3002,23,231,96,154,125,168,198,209,296,383,382,372,272,529,615,607,299,4957
3003,36,586,150,242,252,247,258,273,336,456,331,310,202,351,223,865,395,5516
3004,32,777,170,248,263,315,333,405,608,798,698,650,485,935,787,1234,563,9311
3005,5,33,0,25,14,18,21,23,22,25,25,29,20,42,36,135,49,523
3006,103,2404,386,585,644,690,799,914,1342,1625,1285,1099,856,1584,1145,2454,904,18811
3008,86,1574,217,322,347,313,408,450,622,791,736,640,456,867,636,1232,743,10438
3010,8,444,422,318,107,44,48,19,14,13,6,11,5,26,16,80,13,1595
3011,94,1685,655,1478,1518,1364,1278,1195,1498,1608,1218,960,661,1094,409,2074,2684,21464
3012,110,2109,728,1621,1739,1651,1425,1549,1910,1919,1416,1186,816,1169,481,2013,4453,26295
3013,40,861,422,682,793,833,718,690,941,988,841,879,670,1186,711,883,2829,14967
3015,51,1044,511,746,895,860,750,768,971,1199,1008,985,760,1436,841,987,3652,17472
3016,65,1150,673,703,723,794,676,663,798,958,780,726,601,1139,1135,1022,2940,15558
3018,57,821,441,720,812,840,763,695,818,967,669,605,441,719,323,890,2101,12685
3019,95,1042,391,962,790,654,529,627,547,543,233,197,122,106,49,626,1692,9199
3020,297,4455,1738,3998,4087,3462,2741,2993,3083,2736,1451,976,615,639,215,3553,7736,44784
3021,430,5945,2126,5097,5483,4099,3308,3731,3648,2913,1499,914,446,414,181,4468,9491,54190
3022,61,260,89,253,233,231,197,200,223,201,132,79,56,42,14,275,554,3102
3023,425,6342,2269,3720,3630,2991,3212,3826,4511,4386,2921,2166,1353,1649,532,4730,15307,63974
3024,112,2035,761,1237,1155,1123,1238,1505,1838,1819,1173,848,518,560,145,1325,6456,23852
3025,71,908,405,928,1149,957,610,640,700,697,475,477,285,422,127,1049,2250,12155
3026,0,4,3,5,5,9,3,9,6,5,9,0,0,0,0,17,0,72
3027,39,720,170,208,207,209,233,334,470,527,380,354,217,392,137,287,1749,6650
3028,160,2567,1041,1972,2312,2068,1681,1810,2238,2212,1392,1064,641,818,220,1856,5148,29198
3029,535,9329,3141,4889,4706,4287,4796,5922,7235,7115,4432,3143,1954,2280,642,6003,23537,93946
3030,468,9270,3522,5185,4949,4792,4983,5551,6857,7188,4801,3998,2788,4065,1741,5683,24484,100311
3031,115,1033,585,1213,1143,999,847,837,1053,1249,1154,1023,735,1295,727,1615,2909,18533
3032,143,2320,1015,1635,1648,1497,1454,1690,1918,2259,1717,1475,1040,1724,1158,2085,4674,29449
3033,58,1085,567,950,1181,1027,869,802,916,945,726,576,432,621,274,986,2494,14512
3034,72,934,416,850,1215,881,709,653,672,741,552,445,307,342,191,872,1785,11633
3036,22,467,273,361,370,344,369,327,388,413,296,279,208,264,206,344,1001,5921
3037,278,4942,2097,3005,3023,2526,2677,3233,3677,3723,2385,1856,1216,1396,470,2781,11863,51156
3038,149,2640,1292,1852,2102,1677,1594,1732,1918,2057,1390,1022,648,939,357,1511,4366,27258
3039,47,985,477,717,795,800,721,691,876,1045,832,736,528,961,781,981,2273,14252
3040,61,1899,1003,1188,1256,1424,1289,1373,1701,1896,1518,1350,1004,1637,1324,1729,4283,25939
3041,47,861,541,549,602,667,658,670,820,863,702,596,480,758,535,801,2283,12412
3042,59,1053,539,902,1245,1050,940,935,1027,1187,871,722,474,708,331,1042,2681,15762
3043,88,1273,624,1218,1442,1291,1161,1137,1357,1399,883,649,376,431,133,1308,2946,17715
