,Suburb,Longitude,Latitude,Closest Shopping Mall,Distance to Shopping Mall,Closest Museum,Distance to Museum,Closest Zoo,Distance to Zoo
0,abbotsford,144.9997975,-37.80470437,The Hive Shopping Centre,0.6594793888360267,National Sports Museum,2.0691140739276284,,
1,aberfeldie,144.8974251,-37.75963614,Highpoint Shopping Centre,1.6745817904776097,Victorian Archives Centre,5.693424761935924,Melbourne Zoo,5.589665557098809
2,airport west,144.8813368,-37.72386202,Westfield Airport West,1.1492604274520162,,,,
3,albanvale,144.76854450000002,-37.74610564,Brimbank Shopping Centre,0.8885747890211775,,,,
4,albert park,144.9631929,-37.84475295,Albert Park Village,1.2389012546052223,National Herbarium,1.9996133765706097,,
5,albion,144.8160456,-37.77635579,Sunshine Marketplace,1.3065052946651086,,,,
6,alphington,145.03087490000001,-37.78037851,Fairfield Village,1.1438896719357419,Melbourne Museum,5.8092282867557445,,
7,altona,144.8130541,-37.86008247,Central Square Shopping Centre,3.6666784985326544,Seaworks,8.289092209205874,,
8,altona meadows,144.7844703,-37.88098251,Central Square Shopping Centre,1.1676791926837475,,,,
9,altona north,144.8346696,-37.83796498,Borrack Square,1.0732439504445492,Seaworks,6.972854075502125,,
10,ardeer,144.8014429,-37.77592513,Glengala Village,2.0566520238280694,,,,
11,armadale,145.0206772,-37.85675267,Glenferrie Rd,0.767722078628212,National Herbarium,4.797263305066279,,
12,arthurs creek,145.20689119999997,-37.564443,Laurimar Town Centre,7.721809327392646,,,,
13,arthurs seat,144.95969240000002,-38.36314667,Dromana Hub Shopping Centre,3.319906363641879,,,,
14,ascot vale,144.9136966,-37.77699959,Showgrounds Village,0.5847660661379792,Melbourne Mint,5.414062503099926,Melbourne Zoo,3.5258917494020636
15,ashbourne,144.43756240000002,-37.41041318,,,,,,
16,ashburton,145.08072180000002,-37.86738192,Homeplus Homemaker Centre,1.5227291981640574,,,,
17,ashwood,145.10230430000001,-37.86671234,Homeplus Homemaker Centre,1.477070062750017,,,,
18,aspendale,145.1023414,-38.02188089,Parkdale Plaza,3.16029794572586,Australian National Aviation Museum,5.166751685252443,,
19,aspendale gardens,145.1198511,-38.02215233,Chelsea Beach Arcade,3.4728365534539676,Australian National Aviation Museum,5.669540571061735,,
20,attwood,144.8848529,-37.66701377,Gladstone Park Shopping Centre,2.3441111697908785,,,,
21,avondale heights,144.8626195,-37.76160848,Braybrook Shopping Centre,2.2976622870407497,Victorian Archives Centre,8.025450352716243,Melbourne Zoo,8.323996452562854
22,avonsleigh,145.4847445,-37.91165035,,,,,,
23,bacchus marsh,144.4310256,-37.67221427,Bacchus Marsh Village Shopping Centre,0.8309051797030333,,,,
24,badger creek,145.5332593,-37.705170200000005,Healesville Walk Shopping Centre,5.930081649653962,,,Healesville Sanctuary,2.568863872213712
25,balaclava,144.9947273,-37.87031904,Acland Court,1.250201992668876,National Herbarium,4.667119949192403,,
26,balliang,144.3322585,-37.85096176,,,,,,
27,balnarring,145.13387969999997,-38.35720252,,,,,,
28,balnarring beach,145.11600019999997,-38.39519836,,,,,,
29,balwyn,145.0833455,-37.8091762,Balwyn East Shops,1.737526292772525,,,,
30,balwyn north,145.08421040000002,-37.7919652,Greythorn Village,1.1694241969575234,,,,
31,bangholme,145.1904509,-38.05212191,Australia Post BC,4.572749258021385,,,,
32,baxter,145.15691280000001,-38.20087974,Centro Somerville,2.8524302619196873,,,Moonlit Sanctuary,8.334727631037826
33,bayles,145.5806247,-38.17606026,,,,,,
34,bayswater,145.26474069999998,-37.84541361,Mountain High Centre,0.3786297854896741,,,Chesterfield Farm,7.982788463042417
35,bayswater north,145.28370180000002,-37.82694229,Eastfield Shopping Centre,2.1782598110508835,,,,
36,beaconsfield,145.3831227,-38.04033614,Berwick Marketplace,3.385977682172659,,,,
37,beaconsfield upper,145.4237761,-37.99808852,Berwick Marketplace,7.590144660476969,,,,
38,beaumaris,145.03891380000002,-37.98220978,The Beaumaris Concourse,0.6085740142795992,Australian National Aviation Museum,4.71976557745559,,
39,belgrave,145.3552378,-37.91206763,Ferntree Plaza,4.569438777341126,,,,
40,belgrave heights,145.3469026,-37.92644898,Ferntree Plaza,4.933614614694696,,,,
41,belgrave south,145.35732959999999,-37.9424184,Ferntree Plaza,6.875222539941919,,,,
42,bellfield,145.03850649999998,-37.75309127,The Mall Shopping Centre,0.5279731784831042,Melbourne Museum,8.119573036254357,Melbourne Zoo,8.33551287754707
43,bend of islands,145.28362769999998,-37.69802641,Chirnside Park Shopping Centre,7.105443017600243,,,,
44,bentleigh,145.0380733,-37.92244334,Highett Road Shops,2.9829732597511014,Australian National Aviation Museum,7.610663233048125,,
45,bentleigh east,145.0666708,-37.92211037,The Links,1.4633442428209322,Australian National Aviation Museum,6.3893892581503104,,
46,berwick,145.34811440000001,-38.04035108,Berwick Village,0.9202865962024938,,,,
47,beveridge,145.01338230000002,-37.47983293,Wellington Square Shopping Centre,8.163093433478616,,,,
48,bittern,145.1778583,-38.33740839,,,,,,
49,black rock,145.0229273,-37.970517,The Beaumaris Concourse,1.9334957188394737,Australian National Aviation Museum,6.105891642600047,,
50,blackburn,145.1522675,-37.82170489,North Blackburn Shopping Centre,1.0772831918284753,,,,
51,blackburn north,145.1542685,-37.80537507,North Blackburn Shopping Centre,0.746002709626193,,,,
52,blackburn south,145.14651980000002,-37.83937097,Burwood One Shopping Centre,1.5457803005408137,,,Chesterfield Farm,9.110404487277075
53,blairgowrie,144.7722206,-38.36871970000001,Sorrento Village,4.230422373514459,,,,
54,blind bight,145.3377059,-38.21424714,,,Crystal World,6.57655399129729,Moonlit Sanctuary,7.591969104795405
55,bonbeach,145.12751210000002,-38.06316018,Chelsea Beach Arcade,1.475009719544047,,,,
56,boneo,144.9043916,-38.43123904,Rosebud Plaza,7.888275459811489,,,,
57,boronia,145.2859284,-37.85631765,Boronia Mall,0.5056634529660796,,,Chesterfield Farm,8.403875184568353
58,botanic ridge,145.26841430000002,-38.13920514,Cranbourne Park Shopping Centre,3.5468274200835546,,,Moonlit Sanctuary,8.191030788652608
59,box hill,145.1261178,-37.82152715,Box Hill Central,0.4791797914455139,,,,
60,box hill north,145.1295707,-37.80563252,Kerrimuir Shops,1.0158520219559635,,,,
61,box hill south,145.1233062,-37.83661171,Burwood Brickworks Shopping Centre,1.6177058067217267,,,,
62,braeside,145.11740769999997,-38.01230799,Parkdale Plaza,3.3653522934934164,Australian National Aviation Museum,4.5992738153829,,
