,Suburb,Longitude,Latitude,Closest Bus Station,Distance to Bus Station,Closest Train Station,Distance to Train Station,Closest Tram Station,Distance to Tram Station
0,abbotsford,144.9997975,-37.80470437,Clifton Hill Interchange,2.1273062678393084,Victoria Park Station,0.7783648450422447,Tram Stop 13 - Federation Square (3/3a/5/6/16/64/67/72),3.191071817289741
1,aberfeldie,144.8974251,-37.75963614,Moonee Ponds Junction Bus Stop,2.520204987369483,Essendon Station,1.685383235393923,Tram Stop D18,7.836532882543876
2,airport west,144.8813368,-37.72386202,Long Term Car Park Bus Shelter E,5.3359374988280885,Oak Park Station,3.603540436574761,,
3,albanvale,144.76854450000002,-37.74610564,Alfrieda Street Bus Terminus,2.8388030158107154,St Albans Station,2.74872619833866,,
4,albert park,144.9631929,-37.84475295,Federation Square Bus Depot,3.1430638370296142,Prahran Station,2.415207875920221,Tram Stop 20 @ Park Street,1.686962240870562
5,albion,144.8160456,-37.77635579,Sunshine Bus Interchange,1.9050384036570478,Ardeer Station,1.4450430554231188,,
6,alphington,145.03087490000001,-37.78037851,Clifton Hill Interchange,3.2974727862870554,Alphington Station,0.22082471713890287,Tram Stop 29,5.249642382765182
7,altona,144.8130541,-37.86008247,Newport Interchange,6.4072053350479905,Westona Station,0.5734209999580333,,
8,altona meadows,144.7844703,-37.88098251,Newport Interchange,9.617154882358815,Laverton Station,2.187284433144866,,
9,altona north,144.8346696,-37.83796498,Newport Interchange,4.232596441110505,Altona Station,3.2761543890995215,Tram Stop D18,9.624819272304393
10,ardeer,144.8014429,-37.77592513,Sunshine Bus Interchange,3.0247156219084257,Ardeer Station,0.7871251249574853,,
11,armadale,145.0206772,-37.85675267,SmartBus Terminus Caulfield Station,3.025102796822716,Armadale Station,0.1349335468044144,Tram Stop 29,3.278016916539459
12,arthurs creek,145.20689119999997,-37.564443,,,Hurstbridge Station,8.45116775882413,,
13,arthurs seat,144.95969240000002,-38.36314667,Bus Stop ID 12697 (788),5.138346851025444,,,,
14,ascot vale,144.9136966,-37.77699959,Moonee Ponds Junction Bus Stop,1.5056681149173072,Moonee Ponds Station,1.3270627743075438,Tram Stop D18,5.458210947579641
15,ashbourne,144.43756240000002,-37.41041318,,,Woodend Train Station,9.687740023078582,,
16,ashburton,145.08072180000002,-37.86738192,Chadstone Bus Interchange,2.284648418000946,Alamein Station,0.12722650984437234,Tram Stop 29,6.547922704640588
17,ashwood,145.10230430000001,-37.86671234,767 Bus Stop In Front Of Deakin,2.157524913030572,Jordanville Station,1.1398043933414117,,
18,aspendale,145.1023414,-38.02188089,Westfield  Southland Bus Interchange,8.322091877285313,Aspendale Station,0.5896328449236798,,
19,aspendale gardens,145.1198511,-38.02215233,Dandenong Station Bus Interchange,8.678652772294123,Aspendale Station,1.6539143271423715,,
20,attwood,144.8848529,-37.66701377,Long Term Car Park Bus Shelter E,2.348124286361067,Broadmeadows Station,3.542906802541294,,
21,avondale heights,144.8626195,-37.76160848,Sunshine Bus Interchange,3.901381258328213,Sunshine Station,3.935397375159805,,
22,avonsleigh,145.4847445,-37.91165035,,,Lakeside Station - Puffing Billy Railway,3.048362428733269,,
23,bacchus marsh,144.4310256,-37.67221427,Gell St Bus Stop,0.6531432023688751,Bacchus Marsh Station,1.8233533752924882,,
24,badger creek,145.5332593,-37.705170200000005,Cairncroft Avenue Bus Stop,8.916306933890347,Yarra Valley Railway,5.89165294581365,,
25,balaclava,144.9947273,-37.87031904,SmartBus Terminus Caulfield Station,4.333615972202698,Balaclava Station,0.16807817088115956,Tram Stop 20 @ Park Street,4.835314101889631
26,balliang,144.3322585,-37.85096176,,,,,,
27,balnarring,145.13387969999997,-38.35720252,,,Crib Point Station,6.205082439153386,,
28,balnarring beach,145.11600019999997,-38.39519836,,,Crib Point Station,8.36629724901602,,
29,balwyn,145.0833455,-37.8091762,Doncaster Park And Ride,2.9423092269155444,Chatham Station,1.7348968024183677,Tram Stop 29,5.452814931486241
30,balwyn north,145.08421040000002,-37.7919652,Doncaster Park And Ride,1.8523354828756502,Mont Albert Station,3.5912909069625676,Tram Stop 29,6.476067717618287
31,bangholme,145.1904509,-38.05212191,Dandenong Station Bus Interchange,7.138704949906927,Lynbrook Station,5.0565576383178845,,
32,baxter,145.15691280000001,-38.20087974,フランクストン駅バスターミナル (Frankston Station Bus Interchange),7.0100703535869275,Somerville Station,3.1891731470709246,,
33,bayles,145.5806247,-38.17606026,Koo Wee Rup Bus Interchange,8.309981244619756,,,,
34,bayswater,145.26474069999998,-37.84541361,Knox City Bus Interchange,3.493016106421804,Bayswater Station,0.4801451132441878,,
35,bayswater north,145.28370180000002,-37.82694229,Ringwood Station Bus Interchange,4.958931828695103,Bayswater Station,2.163877472836982,,
36,beaconsfield,145.3831227,-38.04033614,Berwick Station Bus Interchange,3.3510721349548733,Beaconsfield Station,1.885705946489885,,
37,beaconsfield upper,145.4237761,-37.99808852,Main street,7.786237218863535,Emerald Station - Puffing Billy Railway,7.3012428978425215,,
38,beaumaris,145.03891380000002,-37.98220978,Westfield  Southland Bus Interchange,3.004133658129123,Cheltenham Station,2.1958590632772883,,
39,belgrave,145.3552378,-37.91206763,ベルグレーブ駅バスターミナル (Belgrave Station Bus Interchange),0.26743509573580626,Belgrave Station,0.32474807789124605,,
40,belgrave heights,145.3469026,-37.92644898,ベルグレーブ駅バスターミナル (Belgrave Station Bus Interchange),1.998671897200504,Belgrave Station,2.051169484970125,,
41,belgrave south,145.35732959999999,-37.9424184,ベルグレーブ駅バスターミナル (Belgrave Station Bus Interchange),3.641207267948584,Selby Station - Puffing Billy Railway,3.2534986633960776,,
42,bellfield,145.03850649999998,-37.75309127,Clifton Hill Interchange,5.355656892262217,Ivanhoe Station,1.848613285804654,Tram Stop 29,8.334342496164805
43,bend of islands,145.28362769999998,-37.69802641,Lilydale Station Bus Terminus,8.564572346157687,Lilydale Station,8.539695126795289,,
44,bentleigh,145.0380733,-37.92244334,SmartBus Terminus - Bentleigh Station,0.4554599494805164,Patterson Station,0.3866109138024958,Tram Stop 139,7.835168403163341
45,bentleigh east,145.0666708,-37.92211037,Bus Interchange - Moorabbin Station,2.9938844483805402,Bentleigh Station,2.6562589189153063,,
46,berwick,145.34811440000001,-38.04035108,Berwick Station Bus Interchange,0.32767740577162624,Berwick Station,0.29624052580014154,,
47,beveridge,145.01338230000002,-37.47983293,Ned Kelly Junction,5.866407108844614,Donnybrook Station,7.908743310696355,,
48,bittern,145.1778583,-38.33740839,,,Hastings station,3.6087171468653554,,
49,black rock,145.0229273,-37.970517,Westfield  Southland Bus Interchange,3.0318802898452253,Southland Station,2.6497711671535304,,
50,blackburn,145.1522675,-37.82170489,Box Hill Bus Station,2.6431633403534143,Blackburn Station,0.25677737777892795,,
51,blackburn north,145.1542685,-37.80537507,Eastern Fwy/M'borough Rd Bus Stop,1.3277024309582595,Blackburn Station,1.669508151726714,,
52,blackburn south,145.14651980000002,-37.83937097,767 Bus Stop In Front Of Deakin,3.0052538399755404,Blackburn Station,2.1670069204173834,,
53,blairgowrie,144.7722206,-38.36871970000001,Bus to Conti!,6.926903749988126,,,,
54,blind bight,145.3377059,-38.21424714,,,,,,
55,bonbeach,145.12751210000002,-38.06316018,Kananook Station Bus Stop,6.4740455787742235,Bonbeach Station,0.6821023894053961,,
56,boneo,144.9043916,-38.43123904,Bus Stop 13175,9.455440633276702,,,,
57,boronia,145.2859284,-37.85631765,Knox City Bus Interchange,4.391049150546156,Boronia Station,0.47301556696721,,
58,botanic ridge,145.26841430000002,-38.13920514,,,Cranbourne Station,4.485377983517161,,
59,box hill,145.1261178,-37.82152715,Box Hill Bus Station,0.40863005995173723,Box Hill Station,0.4377642910871912,Tram Stop 29,8.849140791404876
60,box hill north,145.1295707,-37.80563252,Eastern Fwy/M'borough Rd Bus Stop,1.3109005527423894,Box Hill Station,1.6523849780795599,,
61,box hill south,145.1233062,-37.83661171,Bus Stop Uganda Street,1.4371733281849575,Box Hill Station,1.928148959697587,,
